# kushinagar001 (Up to date)
# 504 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
46.851,514.48,597.98,-16.208,16.35,0.012,0.166,27.453,0.052,27.453,89.891,2.15,0.166,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.472,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.879,90,11.113,943.662,0.001,338.033,0.048,1.805e6,21.6,366.435,0.5,0.188,0.002
47.351,506.378,589.878,-16.202,16.333,0.011,0.029,26.399,0.052,26.399,89.887,2.067,0.027,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.448,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.115,90,11.166,944.567,0.001,338.065,0.048,1.805e6,21.6,366.435,0.5,0.188,0.002
47.851,498.278,581.778,-16.197,16.33,0.016,0.28,25.362,0.052,25.362,89.883,2.08,0.28,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.533,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.622,90,11.218,945.472,0.001,338.097,0.048,1.806e6,21.6,366.435,0.5,0.188,0.002
48.351,490.182,573.682,-16.189,16.305,0.011,0.159,24.357,0.052,24.357,89.878,1.94,0.159,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.461,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.682,90,11.271,946.376,0.001,338.129,0.048,1.806e6,21.6,366.435,0.5,0.188,0.002
48.851,482.089,565.589,-16.183,16.29,0.014,0.269,23.407,0.052,23.407,89.874,1.861,0.269,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.518,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.308,90,11.324,947.28,0.001,338.161,0.048,1.807e6,21.6,366.435,0.5,0.188,0.002
49.351,473.999,557.499,-16.176,16.299,0.011,0.155,22.443,0.052,22.443,89.868,1.996,0.154,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.458,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.254,90,11.376,948.184,0.001,338.193,0.048,1.807e6,21.6,366.435,0.5,0.188,0.002
49.851,465.912,549.412,-16.171,16.303,0.011,0.089,21.425,0.051,21.426,89.862,2.073,0.089,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.452,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.223,90,11.429,949.088,0.001,338.225,0.048,1.807e6,21.6,366.435,0.5,0.188,0.002
50.351,457.828,541.328,-16.165,16.303,0.012,0.128,20.378,0.051,20.378,89.856,2.117,0.127,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.911,90,11.481,949.991,0.001,338.257,0.048,1.808e6,21.6,366.435,0.5,0.188,0.002
50.851,449.747,533.247,-16.159,16.289,0.011,0.022,19.335,0.051,19.335,89.848,2.054,0.019,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.454,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.026,90,11.534,950.894,0.001,338.288,0.048,1.808e6,21.6,366.435,0.5,0.188,0.002
51.351,441.669,525.169,-16.153,16.282,0.012,0.088,18.311,0.051,18.311,89.84,2.044,0.087,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.191,90,11.586,951.796,0.001,338.32,0.048,1.809e6,21.6,366.435,0.5,0.188,0.002
51.851,433.594,517.094,-16.147,16.282,0.012,0.026,17.278,0.051,17.278,89.831,2.088,0.023,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.459,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,90,11.639,952.699,0.001,338.352,0.048,1.809e6,21.6,366.435,0.5,0.188,0.002
52.351,425.522,509.022,-16.141,16.274,0.013,0.156,16.237,0.051,16.237,89.82,2.076,0.156,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.484,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.823,90,11.691,953.6,0.001,338.384,0.048,1.81e6,21.6,366.435,0.5,0.188,0.002
52.851,417.453,500.953,-16.135,16.258,0.013,0.17,15.218,0.051,15.218,89.809,1.998,0.169,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.482,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.723,90,11.744,954.502,0.001,338.416,0.048,1.81e6,21.6,366.435,0.5,0.189,0.002
53.351,409.387,492.887,-16.128,16.241,0.012,0.046,14.24,0.051,14.24,89.796,1.914,0.045,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.457,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.843,90,11.796,955.443,0.001,338.447,0.048,1.81e6,21.6,366.435,0.5,0.189,0.002
53.851,401.324,484.824,-16.122,16.233,0.012,0.017,13.289,0.051,13.289,89.782,1.891,0.012,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.464,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.914,90,11.849,956.388,0.001,338.479,0.048,1.811e6,21.6,366.435,0.5,0.189,0.002
54.351,393.265,476.765,-16.116,16.227,0.013,0.089,12.342,0.05,12.342,89.766,1.897,0.088,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.475,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,11.901,957.333,0.001,338.511,0.048,1.812e6,21.6,366.435,0.5,0.189,0.002
54.851,385.208,468.708,-16.11,16.226,0.013,0.035,11.382,0.05,11.383,89.747,1.941,0.033,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.891,90,11.953,958.278,0.001,338.543,0.048,1.812e6,21.6,366.435,0.5,0.189,0.002
55.351,377.155,460.655,-16.103,16.218,0.013,0.039,10.416,0.05,10.416,89.724,1.925,0.036,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.47,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.988,90,12.006,959.223,0.001,338.574,0.048,1.812e6,21.6,366.435,0.5,0.189,0.002
55.851,369.105,452.605,-16.097,16.214,0.013,0.071,9.449,0.05,9.449,89.696,1.943,0.07,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.474,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.061,90,12.058,960.167,0.001,338.606,0.048,1.813e6,21.6,366.435,0.5,0.189,0.002
56.351,361.058,444.558,-16.09,16.212,0.014,0.156,8.469,0.05,8.469,89.662,1.978,0.156,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.493,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.237,90,12.11,961.111,0.001,338.638,0.048,1.814e6,21.6,366.435,0.5,0.189,0.002
56.851,353.015,436.515,-16.084,16.214,0.012,0.012,7.46,0.05,7.46,89.617,2.056,8.464e-4,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.461,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,12.163,962.054,0.001,338.669,0.047,1.814e6,21.6,366.435,0.5,0.189,0.002
57.351,344.974,428.474,-16.078,16.208,0.013,0.045,6.432,0.05,6.433,89.556,2.055,0.043,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.989,90,12.215,962.997,0.001,338.701,0.047,1.814e6,21.6,366.435,0.5,0.189,0.002
57.851,336.937,420.437,-16.071,16.199,0.013,0.031,5.41,0.05,5.41,89.474,2.034,0.028,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.789,0,110.323,-5.108,0,0,95.469,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.083,90,12.267,963.94,0.001,338.733,0.047,1.815e6,21.6,366.435,0.5,0.19,0.002
58.351,328.903,412.403,-16.065,16.195,0.015,0.207,4.389,0.05,4.39,89.353,2.048,0.207,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.51,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.713,90,12.319,964.882,0.001,338.764,0.047,1.816e6,21.6,366.435,0.5,0.19,0.002
58.851,320.872,404.372,-16.058,16.175,0.011,0.042,3.391,0.049,3.392,89.164,1.945,0.04,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.458,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.882,90,12.372,965.824,0.001,338.796,0.047,1.816e6,21.6,366.435,0.5,0.19,0.002
59.351,312.845,396.345,-16.052,16.167,0.012,0.088,2.424,0.049,2.425,88.833,1.924,0.087,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.471,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.786,90,12.424,966.765,0.001,338.828,0.047,1.816e6,21.6,366.435,0.5,0.19,0.002
59.851,304.821,388.321,-16.046,16.156,0.012,0.045,1.473,0.049,1.473,88.084,1.881,0.044,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,90,12.476,967.706,0.001,338.859,0.047,1.817e6,21.6,366.435,0.5,0.19,0.002
60.351,296.8,380.3,-16.039,16.152,0.012,0.014,0.527,0.049,0.529,84.667,1.903,0.006,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.897,90,12.528,968.647,0.001,338.891,0.047,1.817e6,21.6,366.435,0.5,0.19,0.002
60.851,288.781,372.281,-16.033,16.145,0.013,0.031,-0.424,0.049,0.427,276.597,1.9,0.028,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.47,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.949,90,12.58,969.588,0.001,338.922,0.047,1.817e6,21.6,366.435,0.5,0.19,0.002
61.351,280.766,364.266,-16.027,16.141,0.013,0.131,-1.378,0.049,1.379,272.035,1.914,0.13,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.487,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.131,90,12.632,970.528,0.001,338.954,0.047,1.818e6,21.6,366.435,0.5,0.19,0.002
61.851,272.754,356.254,-16.02,16.142,0.012,0.056,-2.351,0.049,2.351,271.19,1.979,0.055,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.073,90,12.684,971.467,0.001,338.986,0.047,1.818e6,21.6,366.435,0.5,0.19,0.002
62.351,264.746,348.246,-16.014,16.139,0.014,0.179,-3.348,0.049,3.348,270.834,2.007,0.179,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.498,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.718,90,12.736,972.407,0.001,339.017,0.047,1.819e6,21.6,366.435,0.5,0.19,0.002
62.851,256.741,340.241,-16.007,16.122,0.012,0.071,-4.329,0.049,4.329,270.644,1.917,0.07,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.464,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.807,90,12.788,973.345,0.001,339.049,0.047,1.819e6,21.6,366.435,0.5,0.19,0.002
63.351,248.738,332.238,-16.001,16.112,0.013,0.172,-5.279,0.049,5.279,270.527,1.883,0.171,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.494,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.166,90,12.84,974.284,0.001,339.08,0.047,1.82e6,21.6,366.435,0.5,0.19,0.002
63.851,240.739,324.239,-15.995,16.115,0.015,0.269,-6.241,0.048,6.241,270.445,1.968,0.269,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.531,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.41,90,12.892,975.222,0.001,339.112,0.047,1.821e6,21.6,366.435,0.5,0.19,0.002
64.351,232.744,316.244,-15.987,16.125,0.011,0.144,-7.259,0.048,7.259,270.381,2.103,0.143,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.464,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.34,90,12.944,976.16,0.001,339.143,0.047,1.821e6,21.6,366.435,0.5,0.191,0.002
64.851,224.752,308.252,-15.982,16.129,0.011,0.083,-8.328,0.048,8.328,270.332,2.174,0.082,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.46,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.312,90,12.996,977.097,0.001,339.175,0.047,1.821e6,21.6,366.435,0.5,0.191,0.002
65.351,216.762,300.262,-15.976,16.129,0.012,0.081,-9.426,0.048,9.426,270.292,2.215,0.08,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.088,90,13.048,978.034,0.001,339.206,0.047,1.821e6,21.6,366.435,0.5,0.191,0.002
65.851,208.775,292.275,-15.97,16.118,0.013,0.168,-10.523,0.048,10.523,270.261,2.175,0.168,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.492,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.906,90,13.1,978.971,0.001,339.238,0.047,1.822e6,21.6,366.435,0.5,0.191,0.002
66.351,200.792,284.292,-15.964,16.1,0.012,0.089,-11.59,0.048,11.59,270.237,2.092,0.088,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90,13.152,979.907,0.001,339.269,0.047,1.822e6,21.6,366.435,0.5,0.191,0.002
66.851,192.811,276.311,-15.958,16.089,0.013,0.152,-12.625,0.048,12.625,270.217,2.047,0.151,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.487,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.297,90,13.204,980.843,0.001,339.301,0.047,1.823e6,21.6,366.435,0.5,0.191,0.002
67.351,184.834,268.334,-15.951,16.092,0.012,0.089,-13.667,0.048,13.668,270.2,2.123,0.088,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.983,90,13.256,981.779,0.001,339.332,0.047,1.823e6,21.6,366.435,0.5,0.191,0.002
67.851,176.86,260.36,-15.946,16.081,0.012,0.012,-14.718,0.048,14.718,270.185,2.079,8.411e-4,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.464,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,13.308,982.714,0.001,339.363,0.047,1.824e6,21.6,366.435,0.5,0.191,0.002
68.351,168.888,252.388,-15.94,16.075,0.012,0.092,-15.757,0.047,15.758,270.172,2.079,0.091,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.475,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.934,90,13.359,983.649,0.001,339.395,0.047,1.824e6,21.6,366.435,0.5,0.191,0.002
68.851,160.92,244.42,-15.934,16.063,0.012,0.079,-16.785,0.047,16.786,270.162,2.033,0.078,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.472,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.909,90,13.411,984.584,0.001,339.426,0.047,1.825e6,21.6,366.435,0.5,0.191,0.002
69.351,152.955,236.455,-15.928,16.052,0.012,0.035,-17.792,0.047,17.792,270.152,1.994,0.033,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.944,90,13.463,985.518,0.001,339.458,0.047,1.825e6,21.6,366.435,0.5,0.191,0.002
69.851,144.993,228.493,-15.922,16.044,0.012,0.047,-18.785,0.047,18.785,270.144,1.977,0.046,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.47,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.907,90,13.515,986.452,0.001,339.489,0.047,1.825e6,21.6,366.435,0.5,0.191,0.002
70.351,137.033,220.533,-15.915,16.035,0.013,0.148,-19.768,0.047,19.768,270.136,1.955,0.147,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.49,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.719,90,13.567,987.385,0.001,339.52,0.047,1.826e6,21.6,366.435,0.5,0.191,0.002
70.851,129.077,212.577,-15.909,16.02,0.013,0.173,-20.727,0.047,20.727,270.13,1.881,0.173,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.493,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.165,90,13.618,988.318,0.001,339.552,0.047,1.827e6,21.6,366.435,0.5,0.191,0.002
71.351,121.124,204.624,-15.902,16.024,0.011,0.015,-21.689,0.047,21.689,270.124,1.968,0.01,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.458,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,90,13.67,989.251,0.001,339.583,0.047,1.827e6,21.6,366.435,0.5,0.191,0.002
71.851,113.174,196.674,-15.897,16.019,0.012,0.07,-22.674,0.047,22.674,270.118,1.972,0.069,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.47,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.087,90,13.722,990.183,0.001,339.614,0.047,1.827e6,21.6,366.435,0.5,0.192,0.002
72.351,105.227,188.727,-15.891,16.017,0.012,0.068,-23.669,0.047,23.669,270.113,2.007,0.067,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.471,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.901,90,13.773,991.115,0.001,339.646,0.047,1.828e6,21.6,366.435,0.5,0.192,0.002
72.851,97.283,180.783,-15.885,16.007,0.012,0.022,-24.664,0.046,24.664,270.108,1.973,0.019,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.468,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.946,90,13.825,992.047,0.001,339.677,0.047,1.828e6,21.6,366.435,0.5,0.192,0.002
73.351,89.342,172.842,-15.879,16,0.012,0.062,-25.648,0.046,25.648,270.104,1.964,0.06,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.473,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.065,90,13.877,992.978,0.001,339.708,0.047,1.829e6,21.6,366.435,0.5,0.192,0.002
73.851,81.404,164.904,-15.873,15.998,0.013,0.168,-26.637,0.046,26.637,270.1,1.994,0.167,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.497,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.268,90,13.928,993.909,0.001,339.739,0.047,1.829e6,21.6,366.435,0.5,0.192,0.002
74.351,73.469,156.969,-15.866,16.002,0.012,0.117,-27.655,0.046,27.655,270.096,2.078,0.116,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.474,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.269,90,13.98,994.84,0.001,339.771,0.047,1.829e6,21.6,366.435,0.5,0.192,0.002
74.851,65.538,149.038,-15.861,16.004,0.011,0.032,-28.709,0.046,28.709,270.092,2.136,0.03,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.463,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.188,90,14.031,995.77,0.001,339.802,0.047,1.83e6,21.6,366.435,0.5,0.192,0.002
75.351,57.609,141.109,-15.855,16,0.012,0.02,-29.78,0.046,29.78,270.088,2.151,0.016,26.74,83.887,NaN,NaN,NaN,NaN,45.268,89.955,9739.826,1665.22,2.356,0.089,9.79,0,110.323,-5.108,0,0,95.467,17.147,0,17.147,0,17.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.128,90,14.083,996.7,0.001,339.833,0.047,1.83e6,21.6,366.435,0.5,0.192,0.002
